X-ID,CAR_AOI_DUR_PERCENT,CAR_Dwell_time_ms,CAR_Dwell_count,CAR_Revisit_count,CAR_Fixation_count,CAR_Fixation_duration_ms,CAR_Saccade_count,CAR_T2_AOI_DUR_PERCENT,CAR_T2_Dwell_time_ms,CAR_T2_Dwell_count,CAR_T2_Revisit_count,CAR_T2_Fixation_count,CAR_T2_Fixation_duration_ms,CAR_T2_Saccade_count,PED_AOI_DUR_PERCENT,PED_Dwell_time_ms,PED_Dwell_count,PED_Revisit_count,PED_Fixation_count,PED_Fixation_duration_ms,PED_Saccade_count,TRUCK_AOI_DUR_PERCENT,TRUCK_Dwell_time_ms,TRUCK_Dwell_count,TRUCK_Revisit_count,TRUCK_Fixation_count,TRUCK_Fixation_duration_ms,TRUCK_Saccade_count,WORKZ_AOI_DUR_PERCENT,WORKZ_Dwell_time_ms,WORKZ_Dwell_count,WORKZ_Revisit_count,WORKZ_Fixation_count,WORKZ_Fixation_duration_ms,WORKZ_Saccade_count
A-1,19.3,3070.02,3,2,16,172.08,23,19.71,3355.86,2,1,10,170,45,11.34,10060.57,5,4,43,214.67,49,25.11,2835.01,3,2,10,189.34,35,36.69,8148,11,10,40,174.65,71
A-13,17.24,4245.73,5,4,10,424.66,10,17.69,2292.66,4,3,10,157.34,19,11.59,6671.6,9,8,22,286.09,22,11.11,4839.24,8,7,20,185.87,50,28.18,4961.26,11,10,16,262.48,35
A-15,20.24,8768.46,9,8,28,255.53,39,20.53,7077.42,5,4,23,277.26,21,11.25,4795.14,8,7,14,371.87,16,23.24,8071.72,13,12,27,255.87,28,27,8386.44,11,10,37,193.71,47
A-16,16.94,1070.56,3,2,3,324.48,2,18.54,2304.4,3,2,5,401.65,7,11.87,4197.62,4,3,17,242.09,25,22.86,5938.1,7,6,24,253.94,27,28.7,3406.65,10,9,18,207.49,21
A-17,20.42,4462.36,6,5,19,171.36,49,19.17,2747.6,3,2,6,420.32,7,12.04,2750.27,9,8,11,211.77,16,29.05,2591.46,5,4,11,204.74,17,31.39,6043.13,12,11,24,185.08,52
A-2,17.62,4204.79,5,4,14,277.7,13,18.85,4300.8,4,3,14,260.55,21,13.86,6789.53,11,10,22,270.49,33,27.39,7849.08,13,12,34,205.73,64,76.38,1014.77,7,6,6,160.67,18
A-20,16.65,3117.43,3,2,14,220.52,13,16.94,4454.33,4,3,11,347.77,13,12.45,5967.84,2,1,17,347.98,16,10.84,4614.93,8,7,20,285.7,23,40.4,6231.46,12,11,25,273.3,23
A-22,17.14,6784.6,11,10,17,256.3,70,18.8,3937.74,5,4,11,254.19,24,10.27,8431.53,7,6,22,388.37,25,27.62,10671.35,10,9,41,258.61,45,39.56,13255,18,17,57,239.52,62
A-29,17.58,205.27,1,0,1,412.58,N/A,17.79,3931.6,4,3,16,192.54,23,11.83,6251.88,6,5,14,N/A,N/A,24.33,4385.42,10,9,26,171.9,26,37.58,9282.66,17,16,40,242.18,41
A-3,14.81,3183.33,7,6,11,233.08,20,17.43,5520.84,5,4,12,412.16,9,9.84,4667.43,8,7,24,237.46,28,26.11,11301.21,10,9,46,263.82,59,32.23,11143.33,11,10,42,247.36,65
A-4,18.22,3660.11,5,4,11,277.36,16,19.74,4906.96,4,3,18,257.11,29,10.97,2794.19,7,6,12,204.17,14,22.9,9210.67,10,9,35,223.02,45,32.61,10184.53,16,15,43,216.8,69
A-5,19.5,7254.98,10,9,19,335.35,22,18.2,5134.14,8,7,16,354.67,12,10.61,5102.31,7,6,15,278.6,32,24.96,12942.14,16,15,62,198.4,70,39.83,12147.81,17,16,54,198.89,101
A-6,16.88,4714.46,2,1,9,483.5,12,18.15,5836.26,5,4,10,544.43,6,11.16,10850.67,8,7,20,524.82,19,25.83,13340.32,11,10,36,383.69,44,24.67,17596.97,10,9,51,347.05,60
